tkr;fecha;precio;low;high
ACS;15/10/2021 17:36;22,73;22,22;22,8
ACS;22/10/2021 17:36;23,06;22,34;23,31
ACS;29/10/2021 17:36;22,63;22,35;23,24
ACS;05/11/2021 17:36;23,31;22,15;23,35
ACS;12/11/2021 17:36;23,18;22,75;23,61
ACS;19/11/2021 17:36;21,73;21,67;23,54
ACS;26/11/2021 17:36;21,02;20,98;22,48
ACS;03/12/2021 17:36;21,35;21,02;21,96
ACS;10/12/2021 17:36;21,44;21,3;22,34
ACS;17/12/2021 17:36;21,75;21,08;21,88
ACS;23/12/2021 17:36;22,99;20,58;23,05
ACS;30/12/2021 17:36;23,57;22,82;23,58
ACS;07/01/2022 17:36;23,73;23,31;24,09
ACS;14/01/2022 17:36;23,99;23,83;24,93
ACS;21/01/2022 17:36;23,11;22,42;24,23
ACS;28/01/2022 17:36;22,25;22,09;23,17
ACS;04/02/2022 17:36;22,41;22,21;22,98
ACS;11/02/2022 17:36;22,6;22,06;23,03
ACS;18/02/2022 17:36;22,32;21,54;22,77
ACS;25/02/2022 17:36;21,84;20,65;22,58
ACS;04/03/2022 17:36;21,27;21,1;22,57
ACS;11/03/2022 17:36;23,34;19,85;23,72
ACS;18/03/2022 17:36;24,1;23,54;24,75
ACS;25/03/2022 17:36;24,62;23,89;24,93
ACS;01/04/2022 17:36;24,59;24,32;25,1
ACS;08/04/2022 17:36;24,07;23,38;24,77
ACS;14/04/2022 17:36;24,91;24,05;25,1
ACS;22/04/2022 17:36;24,56;24,56;25,15
ACS;29/04/2022 17:36;24,59;24,08;25,23
ACS;06/05/2022 17:36;24,22;23;24,99
ACS;13/05/2022 17:36;24,31;23,64;24,65
ACS;20/05/2022 17:36;25,43;24,3;25,84
ACS;27/05/2022 17:36;26,6;25,33;26,73
ACS;03/06/2022 17:36;26,53;26,22;26,9
ACS;10/06/2022 17:36;25,32;25,04;26,94
ACS;17/06/2022 17:36;24,49;23,93;25
ACS;24/06/2022 17:36;23,8;23,32;24,75
ACS;01/07/2022 17:36;21,59;21,46;24,02
ACS;08/07/2022 17:36;21,69;20,69;21,85
ACS;15/07/2022 17:36;21,61;20,85;21,77
ACS;22/07/2022 17:36;22,22;21,54;22,24
ACS;29/07/2022 17:36;23,41;22,17;23,59
ACS;05/08/2022 17:36;23,14;22,67;23,46
ACS;12/08/2022 17:36;23,98;23,3;24,24
ACS;19/08/2022 17:36;23,88;23,76;24,52
ACS;26/08/2022 17:36;22,42;22,35;23,75
ACS;02/09/2022 17:36;22,62;21,94;22,72
ACS;09/09/2022 17:36;23,01;22,08;23,09
ACS;16/09/2022 17:36;22,92;22,77;23,67
ACS;23/09/2022 17:36;22,13;21,94;23,1
ACS;30/09/2022 17:36;23,13;21,8;23,24
ACX;15/10/2021 17:36;12,15;11,26;12,29
ACX;22/10/2021 17:36;11,59;11,4;12,35
ACX;29/10/2021 17:36;12,04;11,65;12,13
ACX;05/11/2021 17:36;11,22;11,22;12,35
ACX;12/11/2021 17:36;11,06;10,93;11,56
ACX;19/11/2021 17:36;10,45;10,37;11,05
ACX;26/11/2021 17:36;10,11;9,95;10,93
ACX;03/12/2021 17:36;9,86;9,8;10,35
ACX;10/12/2021 17:36;10,26;9,85;10,43
ACX;17/12/2021 17:36;10,9;10,28;11,04
ACX;23/12/2021 17:36;11,18;10,53;11,29
ACX;30/12/2021 17:36;11,39;11,14;11,54
ACX;07/01/2022 17:36;12,01;11,44;12,07
ACX;14/01/2022 17:36;12,68;11,84;12,91
ACX;21/01/2022 17:36;12,02;11,94;12,81
ACX;28/01/2022 17:36;11,04;10,86;11,97
ACX;04/02/2022 17:36;11,41;11,15;11,8
ACX;11/02/2022 17:36;11,65;11,44;11,95
ACX;18/02/2022 17:36;11,51;11,18;11,84
ACX;25/02/2022 17:36;11,37;10,58;11,77
ACX;04/03/2022 17:36;10,31;10,31;11,67
ACX;11/03/2022 17:36;9,43;9,1;10,34
ACX;18/03/2022 17:36;9,98;9,37;10,42
ACX;25/03/2022 17:36;10,32;9,99;10,82
ACX;01/04/2022 17:36;10,15;9,93;10,42
ACX;08/04/2022 17:36;9,44;9,37;10,15
ACX;14/04/2022 17:36;9,98;9,44;10,02
ACX;22/04/2022 17:36;9,92;9,79;10,3
ACX;29/04/2022 17:36;10,09;9,42;10,15
ACX;06/05/2022 17:36;9,99;9,58;10,12
ACX;13/05/2022 17:36;10,44;9,77;10,59
ACX;20/05/2022 17:36;10,65;10,26;10,95
ACX;27/05/2022 17:36;12;10,72;12,03
ACX;03/06/2022 17:36;11,81;11,35;12,41
ACX;10/06/2022 17:36;11,29;11,23;12,15
ACX;17/06/2022 17:36;10,1;9,94;11,16
ACX;24/06/2022 17:36;9,68;9,37;10,53
ACX;01/07/2022 17:36;8,72;8,5;10,02
ACX;08/07/2022 17:36;8,63;8,12;8,86
ACX;15/07/2022 17:36;8,42;8,22;8,59
ACX;22/07/2022 17:36;8,9;8,47;8,98
ACX;29/07/2022 17:36;9,5;8,76;9,52
ACX;05/08/2022 17:36;9,36;8,91;9,57
ACX;12/08/2022 17:36;9,59;9,28;9,74
ACX;19/08/2022 17:36;9,3;9,3;9,79
ACX;26/08/2022 17:36;9,16;8,89;9,49
ACX;02/09/2022 17:36;9,03;8,52;9,41
ACX;09/09/2022 17:36;8,94;8,7;9,16
ACX;16/09/2022 17:36;8,62;8,34;9,3
ACX;23/09/2022 17:36;8,29;8,18;8,77
ACX;30/09/2022 17:36;8,2;8,06;8,59
AENA;15/10/2021 17:36;145,55;142,4;146,6
AENA;22/10/2021 17:36;141,95;139,05;145,55
AENA;29/10/2021 17:36;141,65;138,65;143,6
AENA;05/11/2021 17:36;151,25;141,1;151,25
AENA;12/11/2021 17:36;146,95;145,75;152
AENA;19/11/2021 17:36;136,6;136;150,75
AENA;26/11/2021 17:36;128,45;127,45;141,15
AENA;03/12/2021 17:36;130,35;127,15;133,7
AENA;10/12/2021 17:36;129,85;129,05;136,05
AENA;17/12/2021 17:36;132,85;126,5;132,95
AENA;23/12/2021 17:36;136,85;127,05;137,65
AENA;30/12/2021 17:36;138,8;135,3;139,75
AENA;07/01/2022 17:36;144,4;138,95;146,5
AENA;14/01/2022 17:36;149;144,15;149
AENA;21/01/2022 17:36;147,85;144,45;149,95
AENA;28/01/2022 17:36;143,75;141,65;148,25
AENA;04/02/2022 17:36;143,7;142;147,4
AENA;11/02/2022 17:36;153,45;141,55;155,6
AENA;18/02/2022 17:36;149,55;146;155,9
AENA;25/02/2022 17:36;146,3;134,7;152,15
AENA;04/03/2022 17:36;131,4;131,4;147,8
AENA;11/03/2022 17:36;133,7;121,8;137,35
AENA;18/03/2022 17:36;150;134,5;150
AENA;25/03/2022 17:36;146,95;142,75;149,35
AENA;01/04/2022 17:36;147,15;146,65;153,95
AENA;08/04/2022 17:36;145,2;141,3;148,25
AENA;14/04/2022 17:36;151,65;144,1;153,15
AENA;22/04/2022 17:36;148,85;148,4;153,4
AENA;29/04/2022 17:36;136,3;135,05;150,3
AENA;06/05/2022 17:36;133,15;131,6;140,5
AENA;13/05/2022 17:36;132,95;127,55;133,85
AENA;20/05/2022 17:36;135,8;132,85;137,9
AENA;27/05/2022 17:36;142,75;135,25;143,3
AENA;03/06/2022 17:36;140,65;139,3;144,8
AENA;10/06/2022 17:36;138,15;135,75;142,7
AENA;17/06/2022 17:36;136,8;131,15;138,95
AENA;24/06/2022 17:36;129,8;128;140,25
AENA;01/07/2022 17:36;123,85;117,15;132
AENA;08/07/2022 17:36;122;118,8;128,9
AENA;15/07/2022 17:36;122,85;116,9;124,7
AENA;22/07/2022 17:36;125,5;121,55;126,55
AENA;29/07/2022 17:36;123;114,45;126,45
AENA;05/08/2022 17:36;125,2;119,95;125,45
AENA;12/08/2022 17:36;127,4;125,15;129,2
AENA;19/08/2022 17:36;126,05;124,7;131,7
AENA;26/08/2022 17:36;124,4;124,25;127,45
AENA;02/09/2022 17:36;122,35;119,1;124,2
AENA;09/09/2022 17:36;120,15;116,35;122,25
AENA;16/09/2022 17:36;115,1;115,1;123,5
AENA;23/09/2022 17:36;109;108,05;117,6
AENA;30/09/2022 17:36;106,9;106,05;110,9
AMS;15/10/2021 17:36;60,46;57,96;61
AMS;22/10/2021 17:36;55,4;55,08;60,54
AMS;29/10/2021 17:36;57,84;54,66;57,96
AMS;05/11/2021 17:36;61,94;57,26;62,38
AMS;12/11/2021 17:36;62,14;61,54;64,54
AMS;19/11/2021 17:36;60,2;59,72;64,44
AMS;26/11/2021 17:36;56,74;52,82;61,56
AMS;03/12/2021 17:36;56,88;54,92;58,86
AMS;10/12/2021 17:36;57,56;56,58;59,58
AMS;17/12/2021 17:36;55,66;54,12;57,76
AMS;23/12/2021 17:36;58,58;53,2;59,16
AMS;30/12/2021 17:36;59,64;57,78;59,76
AMS;07/01/2022 17:36;62,48;59,36;64,12
AMS;14/01/2022 17:36;62,84;61,3;63,32
AMS;21/01/2022 17:36;62,3;60,5;64,92
AMS;28/01/2022 17:36;59,14;58,18;62,06
AMS;04/02/2022 17:36;61,2;59,06;63,36
AMS;11/02/2022 17:36;61,24;58,82;63,84
AMS;18/02/2022 17:36;61,34;58,8;63,6
AMS;25/02/2022 17:36;59,5;55,26;62,48
AMS;04/03/2022 17:36;52,88;52,34;61,6
AMS;11/03/2022 17:36;52,88;48,86;54,5
AMS;18/03/2022 17:36;56;51,96;56,38
AMS;25/03/2022 17:36;56,6;55,5;58,42
AMS;01/04/2022 17:36;58,46;56,4;61,04
AMS;08/04/2022 17:36;56,54;55,96;60,38
AMS;14/04/2022 17:36;56,88;54;57,32
AMS;22/04/2022 17:36;59,12;55,4;61,12
AMS;29/04/2022 17:36;60,4;57,44;61,24
AMS;06/05/2022 17:36;60;57,18;61,5
AMS;13/05/2022 17:36;58,74;56,52;60,54
AMS;20/05/2022 17:36;59,1;57,74;60,1
AMS;27/05/2022 17:36;60,34;56,56;60,36
AMS;03/06/2022 17:36;56,56;56,56;61,6
AMS;10/06/2022 17:36;53,72;53,5;58,04
AMS;17/06/2022 17:36;52,5;49,93;53,22
AMS;24/06/2022 17:36;53,26;51,6;55,12
AMS;01/07/2022 17:36;52,96;51,64;55,12
AMS;08/07/2022 17:36;53,52;50,56;54,18
AMS;15/07/2022 17:36;54,68;51,7;54,68
AMS;22/07/2022 17:36;56;54,5;56,92
AMS;29/07/2022 17:36;56,68;55,4;58,9
AMS;05/08/2022 17:36;54,94;54,44;58
AMS;12/08/2022 17:36;56,58;54,98;57,54
AMS;19/08/2022 17:36;55,98;55,62;57,6
AMS;26/08/2022 17:36;54,8;54,56;56,18
AMS;02/09/2022 17:36;51,64;50,42;54,22
AMS;09/09/2022 17:36;52,16;50,48;52,56
AMS;16/09/2022 17:36;50,64;50,4;53,08
AMS;23/09/2022 17:36;46,37;46,06;51,62
AMS;30/09/2022 17:36;47,91;44,85;47,91
ANA;15/10/2021 17:36;151,2;140,2;151,9
ANA;22/10/2021 17:36;161,1;147,3;162,2
ANA;29/10/2021 17:36;165,8;159,3;167,9
ANA;05/11/2021 17:36;157;155,5;168,9
ANA;12/11/2021 17:36;159,5;156,3;160,6
ANA;19/11/2021 17:36;158,8;156,9;163,2
ANA;26/11/2021 17:36;159,3;156,1;163,4
ANA;03/12/2021 17:36;155,2;153,9;161,1
ANA;10/12/2021 17:36;158,7;156,3;163
ANA;17/12/2021 17:36;158,6;155,4;162,2
ANA;23/12/2021 17:36;166,7;154,2;167,2
ANA;30/12/2021 17:36;168,1;165,3;169,7
ANA;07/01/2022 17:36;164,9;163,6;172,7
ANA;14/01/2022 17:36;156,8;155,2;166,1
ANA;21/01/2022 17:36;152,5;150,3;157,4
ANA;28/01/2022 17:36;153,8;146,9;155,6
ANA;04/02/2022 17:36;148,9;145,4;157,3
ANA;11/02/2022 17:36;144;141,9;151,2
ANA;18/02/2022 17:36;139,6;137,2;144,6
ANA;25/02/2022 17:36;147,1;128,4;149,3
ANA;04/03/2022 17:36;139,3;137,9;154,3
ANA;11/03/2022 17:36;161,3;135,2;164,2
ANA;18/03/2022 17:36;163,9;155,6;165,3
ANA;25/03/2022 17:36;166,1;161,2;167,3
ANA;01/04/2022 17:36;175,8;166,1;176,6
ANA;08/04/2022 17:36;192;175,1;192,1
ANA;14/04/2022 17:36;193,2;187,4;194,7
ANA;22/04/2022 17:36;188,8;188,8;197
ANA;29/04/2022 17:36;187,5;186,9;194,3
ANA;06/05/2022 17:36;179,9;179,1;189,4
ANA;13/05/2022 17:36;180,3;172,6;181,4
ANA;20/05/2022 17:36;183,1;178,9;185,3
ANA;27/05/2022 17:36;184,5;182,9;191,6
ANA;03/06/2022 17:36;188,5;177,6;189,4
ANA;10/06/2022 17:36;183,9;182,1;192
ANA;17/06/2022 17:36;176,6;174,4;184,2
ANA;24/06/2022 17:36;177,5;168,2;179,7
ANA;01/07/2022 17:36;179;172,5;179,7
ANA;08/07/2022 17:36;189,8;173,4;191
ANA;15/07/2022 17:36;181,6;175,3;195,9
ANA;22/07/2022 17:36;184,7;178,5;185,5
ANA;29/07/2022 17:36;200,6;184,4;202,6
ANA;05/08/2022 17:36;199,1;190,5;201,4
ANA;12/08/2022 17:36;199,5;197,4;204
ANA;19/08/2022 17:36;207;199,8;209,4
ANA;26/08/2022 17:36;206;205,2;211
ANA;02/09/2022 17:36;194,6;190,6;205
ANA;09/09/2022 17:36;199,7;190,3;204
ANA;16/09/2022 17:36;202,2;198,8;205,6
ANA;23/09/2022 17:36;187,1;182,7;201,6
ANA;30/09/2022 17:36;180,6;177,1;187,2
ANE;15/10/2021 17:36;29,79;27,09;30
ANE;22/10/2021 17:36;29,96;28,29;30,4
ANE;29/10/2021 17:36;30,23;29,05;31,44
ANE;05/11/2021 17:36;29,64;28,69;31
ANE;12/11/2021 17:36;30,96;29,5;31,1
ANE;19/11/2021 17:36;31;30,39;32,64
ANE;26/11/2021 17:36;30,39;30,05;31,78
ANE;03/12/2021 17:36;29,78;29,6;31,55
ANE;10/12/2021 17:36;30,77;29,91;32,05
ANE;17/12/2021 17:36;30,26;30,09;32,22
ANE;23/12/2021 17:36;31,56;29,83;31,56
ANE;30/12/2021 17:36;32,58;31,16;32,83
ANE;07/01/2022 17:36;29,41;29,27;33,05
ANE;14/01/2022 17:36;28,64;28,34;30
ANE;21/01/2022 17:36;28,51;28,02;29,39
ANE;28/01/2022 17:36;26,86;26,75;28,64
ANE;04/02/2022 17:36;28,12;26,86;29,02
ANE;11/02/2022 17:36;27,18;26,5;28,83
ANE;18/02/2022 17:36;27,4;26,11;28,06
ANE;25/02/2022 17:36;29,54;26;31,32
ANE;04/03/2022 17:36;27,78;27,33;30,68
ANE;11/03/2022 17:36;32,38;27;33,42
ANE;18/03/2022 17:36;33,33;30,84;33,33
ANE;25/03/2022 17:36;32,4;31,68;33,5
ANE;01/04/2022 17:36;33,16;32,21;33,97
ANE;08/04/2022 17:36;35,16;33,18;36,9
ANE;14/04/2022 17:36;35,12;34,28;37
ANE;22/04/2022 17:36;34,4;33,96;35,52
ANE;29/04/2022 17:36;35,38;33,58;35,44
ANE;06/05/2022 17:36;34;32,76;35,58
ANE;13/05/2022 17:36;33,88;32,34;34,86
ANE;20/05/2022 17:36;37,42;33,92;37,74
ANE;27/05/2022 17:36;36,68;36,02;37,88
ANE;03/06/2022 17:36;37,28;35,62;37,58
ANE;10/06/2022 17:36;35,94;35,52;38,88
ANE;17/06/2022 17:36;34,66;33,98;36
ANE;24/06/2022 17:36;35,48;33,16;35,66
ANE;01/07/2022 17:36;37,58;35,06;37,8
ANE;08/07/2022 17:36;39,6;37,64;39,82
ANE;15/07/2022 17:36;38,84;37,4;40,42
ANE;22/07/2022 17:36;39,46;38,22;40,28
ANE;29/07/2022 17:36;42,74;38,9;43,74
ANE;05/08/2022 17:36;41,64;41,44;43,92
ANE;12/08/2022 17:36;41,1;40,92;42,2
ANE;19/08/2022 17:36;42,4;41,42;42,8
ANE;26/08/2022 17:36;43,5;41,8;44,2
ANE;02/09/2022 17:36;40,52;39,92;43,12
ANE;09/09/2022 17:36;42,18;38,8;43,04
ANE;16/09/2022 17:36;41,96;40,9;42,4
ANE;23/09/2022 17:36;39,38;38,02;42,34
ANE;30/09/2022 17:36;38,36;37,9;39,84
BBVA;15/10/2021 17:36;5,77;5,58;5,98
BBVA;22/10/2021 17:36;5,69;5,63;5,86
BBVA;29/10/2021 17:36;6,06;5,5;6,1
BBVA;05/11/2021 17:36;6,03;6;6,29
BBVA;12/11/2021 17:36;6,13;5,94;6,19
BBVA;19/11/2021 17:36;5,4;5,3;5,95
BBVA;26/11/2021 17:36;4,85;4,85;5,5
BBVA;03/12/2021 17:36;4,79;4,67;4,97
BBVA;10/12/2021 17:36;5,11;4,82;5,29
BBVA;17/12/2021 17:36;5;4,83;5,21
BBVA;23/12/2021 17:36;5,17;4,78;5,21
BBVA;30/12/2021 17:36;5,25;5,09;5,28
BBVA;07/01/2022 17:36;5,59;5,22;5,59
BBVA;14/01/2022 17:36;5,77;5,55;5,78
BBVA;21/01/2022 17:36;5,63;5,59;5,83
BBVA;28/01/2022 17:36;5,64;5,39;5,76
BBVA;04/02/2022 17:36;5,69;5,51;5,9
BBVA;11/02/2022 17:36;5,97;5,65;6,12
BBVA;18/02/2022 17:36;5,71;5,67;5,94
BBVA;25/02/2022 17:36;5,44;5,21;5,81
BBVA;04/03/2022 17:36;4,8;4,79;5,37
BBVA;11/03/2022 17:36;4,99;4,38;5,29
BBVA;18/03/2022 17:36;5,28;4,99;5,45
BBVA;25/03/2022 17:36;5,12;5,06;5,4
BBVA;01/04/2022 17:36;5,29;5,12;5,55
BBVA;08/04/2022 17:36;4,89;4,81;5,34
BBVA;14/04/2022 17:36;5,03;4,84;5,07
BBVA;22/04/2022 17:36;5,01;4,97;5,2
BBVA;29/04/2022 17:36;5,06;4,64;5,06
BBVA;06/05/2022 17:36;4,59;4,51;5,03
BBVA;13/05/2022 17:36;4,85;4,58;4,86
BBVA;20/05/2022 17:36;4,75;4,7;4,97
BBVA;27/05/2022 17:36;5,04;4,79;5,04
BBVA;03/06/2022 17:36;4,96;4,94;5,16
BBVA;10/06/2022 17:36;4,31;4,31;5,12
BBVA;17/06/2022 17:36;4,27;4,13;4,38
BBVA;24/06/2022 17:36;4,34;4,2;4,42
BBVA;01/07/2022 17:36;4,31;4,2;4,5
BBVA;08/07/2022 17:36;4,4;4,16;4,44
BBVA;15/07/2022 17:36;4,1;3,97;4,38
BBVA;22/07/2022 17:36;4,15;4,06;4,31
BBVA;29/07/2022 17:36;4,42;4,09;4,45
BBVA;05/08/2022 17:36;4,62;4,36;4,66
BBVA;12/08/2022 17:36;4,78;4,6;4,8
BBVA;19/08/2022 17:36;4,7;4,66;4,95
BBVA;26/08/2022 17:36;4,45;4,43;4,67
BBVA;02/09/2022 17:36;4,56;4,4;4,61
BBVA;09/09/2022 17:36;4,85;4,39;4,88
BBVA;16/09/2022 17:36;4,93;4,83;5,02
BBVA;23/09/2022 17:36;4,76;4,67;5,01
BBVA;30/09/2022 17:36;4,62;4,5;4,83
BKT;15/10/2021 17:36;5,15;4,9;5,24
BKT;22/10/2021 17:36;4,72;4,7;5,14
BKT;29/10/2021 17:36;4,76;4,65;4,84
BKT;05/11/2021 17:36;4,97;4,79;5,01
BKT;12/11/2021 17:36;4,98;4,89;5,01
BKT;19/11/2021 17:36;4,56;4,54;5,01
BKT;26/11/2021 17:36;4,31;4,04;4,64
BKT;03/12/2021 17:36;4,34;4,27;4,44
BKT;10/12/2021 17:36;4,31;4,3;4,47
BKT;17/12/2021 17:36;4,32;4,25;4,5
BKT;23/12/2021 17:36;4,5;4,19;4,51
BKT;30/12/2021 17:36;4,51;4,47;4,56
BKT;07/01/2022 17:36;4,85;4,51;4,9
BKT;14/01/2022 17:36;4,99;4,78;5,03
BKT;21/01/2022 17:36;5,18;4,99;5,37
BKT;28/01/2022 17:36;5,28;4,97;5,43
BKT;04/02/2022 17:36;5,63;5,17;5,65
BKT;11/02/2022 17:36;5,98;5,54;6,08
BKT;18/02/2022 17:36;5,63;5,59;5,91
BKT;25/02/2022 17:36;5,24;5;5,7
BKT;04/03/2022 17:36;4,41;4,41;5,19
BKT;11/03/2022 17:36;4,95;4,01;5,16
BKT;18/03/2022 17:36;5,28;4,9;5,5
BKT;25/03/2022 17:36;5,16;5,08;5,52
BKT;01/04/2022 17:36;5,39;5,1;5,5
BKT;08/04/2022 17:36;5,42;5,09;5,47
BKT;14/04/2022 17:36;5,28;5,12;5,46
BKT;22/04/2022 17:36;5,57;5,19;5,77
BKT;29/04/2022 17:36;5,63;5,38;5,69
BKT;06/05/2022 17:36;5,17;5,15;5,68
BKT;13/05/2022 17:36;5,33;5,13;5,44
BKT;20/05/2022 17:36;5,56;5,26;5,68
BKT;27/05/2022 17:36;5,99;5,62;6,07
BKT;03/06/2022 17:36;5,85;5,83;6,05
BKT;10/06/2022 17:36;5,65;5,6;6,19
BKT;17/06/2022 17:36;5,77;5,33;5,87
BKT;24/06/2022 17:36;5,91;5,65;6,27
BKT;01/07/2022 17:36;5,92;5,74;6,09
BKT;08/07/2022 17:36;5,17;5,03;5,95
BKT;15/07/2022 17:36;4,75;4,53;5,14
BKT;22/07/2022 17:36;4,84;4,7;5,22
BKT;29/07/2022 17:36;4,8;4,72;5,02
BKT;05/08/2022 17:36;5,05;4,78;5,09
BKT;12/08/2022 17:36;5,07;5,01;5,17
BKT;19/08/2022 17:36;4,99;4,93;5,18
BKT;26/08/2022 17:36;4,83;4,81;4,97
BKT;02/09/2022 17:36;5,06;4,73;5,16
BKT;09/09/2022 17:36;5,59;4,89;5,7
BKT;16/09/2022 17:36;5,87;5,59;6,11
BKT;23/09/2022 17:36;5,97;5,81;6,11
BKT;30/09/2022 17:36;5,77;5,59;6,02
CABK;15/10/2021 17:36;2,66;2,6;2,75
CABK;22/10/2021 17:36;2,54;2,5;2,68
CABK;29/10/2021 17:36;2,49;2,46;2,64
CABK;05/11/2021 17:36;2,51;2,46;2,53
CABK;12/11/2021 17:36;2,5;2,46;2,54
CABK;19/11/2021 17:36;2,37;2,37;2,53
CABK;26/11/2021 17:36;2,29;2,28;2,44
CABK;03/12/2021 17:36;2,3;2,23;2,35
CABK;10/12/2021 17:36;2,3;2,29;2,4
CABK;17/12/2021 17:36;2,28;2,26;2,35
CABK;23/12/2021 17:36;2,36;2,22;2,37
CABK;30/12/2021 17:36;2,41;2,34;2,43
CABK;07/01/2022 17:36;2,63;2,41;2,64
CABK;14/01/2022 17:36;2,86;2,61;2,86
CABK;21/01/2022 17:36;2,77;2,72;2,93
CABK;28/01/2022 17:36;2,88;2,66;2,92
CABK;04/02/2022 17:36;3,21;2,83;3,25
CABK;11/02/2022 17:36;3,39;3,14;3,43
CABK;18/02/2022 17:36;3,24;3,2;3,35
CABK;25/02/2022 17:36;3,03;2,86;3,28
CABK;04/03/2022 17:36;2,64;2,64;3
CABK;11/03/2022 17:36;2,93;2,45;3,06
CABK;18/03/2022 17:36;3,19;2,96;3,27
CABK;25/03/2022 17:36;3,03;2,98;3,22
CABK;01/04/2022 17:36;3,17;3,02;3,19
CABK;08/04/2022 17:36;3,24;3,07;3,27
CABK;14/04/2022 17:36;3,04;3;3,27
CABK;22/04/2022 17:36;3,09;3,02;3,18
CABK;29/04/2022 17:36;3,09;2,9;3,09
CABK;06/05/2022 17:36;2,95;2,94;3,18
CABK;13/05/2022 17:36;2,89;2,79;3,03
CABK;20/05/2022 17:36;3,12;2,85;3,18
CABK;27/05/2022 17:36;3,36;3,11;3,43
CABK;03/06/2022 17:36;3,38;3,34;3,44
